Side,Total Score,Turn Score
Player 2,3000,500
Player 2,3500,300
Player 2,3800,250
Player 2,4050,0
Player 2,4050,350
Player 2,4400,1000
Player 2,5400,0
Player 2,5400,650
Player 2,6050,650
Player 2,6700,950
Player 2,7650,250
Player 2,7900,700
Player 2,8600,300
Player 1,0,0
Player 1,0,300
Player 1,300,500
Player 1,800,400
Player 1,1200,0
Player 1,1200,1050
Player 1,2250,400
Player 1,2650,300
Player 1,2950,400
Player 1,3350,250
Player 1,3600,400
Player 1,4000,400
Player 1,4400,250
Player 1,4650,500
Player 1,5150,500
Player 1,5650,450
Player 1,6100,250
Player 1,6350,400
Player 1,6750,1000
Player 1,7750,0
Player 1,7750,600
Player 1,8350,550
Player 1,8900,0
Player 1,8900,700
Player 1,9600,0
Player 1,9600,250
Player 2,0,250
Player 2,250,200
Player 2,450,300
Player 2,750,1000
Player 2,1750,300
Player 2,2050,0
Player 2,2050,0
Player 2,2050,0
Player 2,2050,350
Player 2,2400,500
Player 2,2900,750
Player 2,3650,500
Player 2,4150,250
Player 2,4400,300
Player 2,4700,350
Player 2,5050,0
Player 2,5050,250
Player 2,5300,300
Player 2,5600,450
Player 2,6050,700
Player 2,6750,600
Player 2,7350,150
Player 2,7500,500
Player 2,8000,1100
Player 2,9100,400
Player 2,9500,750
Player 1,0,600
Player 1,600,1100
Player 1,1700,0
Player 1,1700,900
Player 1,2600,500
Player 1,3100,300
Player 1,3400,350
Player 1,3750,200
Player 1,3950,600
Player 1,4550,300
Player 1,4850,300
Player 1,5150,600
Player 1,5750,600
Player 1,6350,500
Player 1,6850,300
Player 1,7150,300
Player 1,7450,500
Player 1,7950,450
Player 1,8400,400
Player 1,8800,500
Player 1,9300,600
Player 1,9900,600
Player 2,0,400
Player 2,400,600
Player 2,1000,300
Player 2,1300,350
Player 2,1650,300
Player 2,1950,550
Player 2,2500,1150
Player 2,3650,650
Player 2,4300,550
Player 2,4850,300
Player 2,5150,500
Player 2,5650,0
Player 2,5650,400
Player 2,6050,0
Player 2,6050,1200
Player 2,7250,0
Player 2,7250,0
Player 2,7250,200
Player 2,7450,1050
Player 2,8500,450
Player 2,8950,800
Player 1,0,400
Player 1,400,1100
Player 1,1500,350
Player 1,1850,0
Player 1,1850,250
Player 1,2100,600
Player 1,2700,1000
Player 1,3700,600
Player 1,4300,700
Player 1,5000,200
Player 1,5200,400
Player 1,5600,300
Player 1,5900,650
Player 1,6550,300
Player 1,6850,500
Player 1,7350,350
Player 1,7700,250
Player 1,7950,900
Player 1,8850,300
Player 1,9150,450
Player 1,9600,1200
Player 2,0,600
Player 2,600,0
Player 2,600,250
Player 2,850,450
Player 2,1300,300
Player 2,1600,1050
Player 2,2650,900
Player 2,3550,300
Player 2,3850,0
Player 2,3850,200
Player 2,4050,500
Player 2,4550,0
Player 2,4550,350
Player 2,4900,700
Player 2,5600,450
Player 2,6050,650
Player 2,6700,400
Player 2,7100,0
Player 2,7100,150
Player 2,7250,300
Player 1,0,500
Player 1,500,200
Player 1,700,450
Player 1,1150,700
Player 1,1850,0
Player 1,1850,600
Player 1,2450,0
Player 1,2450,400
Player 1,2850,300
Player 1,3150,750
Player 1,3900,400
Player 1,4300,0
Player 1,4300,450
Player 1,4750,600
Player 1,5350,300
Player 1,5650,1000
Player 1,6650,300
Player 1,6950,500
Player 1,7450,1000
Player 1,8450,750
Player 2,0,350
Player 2,350,250
Player 2,600,0
Player 2,600,500
Player 2,1100,400
Player 2,1500,350
Player 2,1850,450
Player 2,2300,700
Player 2,3000,650
Player 2,3650,250
Player 2,3900,1000
Player 2,4900,350
Player 2,5250,350
Player 2,5600,1100
Player 2,6700,500
Player 2,7200,1200
Player 2,8400,1050
Player 2,9450,0
Player 2,9450,250
Player 2,9700,600
Player 1,0,600
Player 1,600,650
Player 1,1250,400
Player 1,1650,350
Player 1,2000,1100
Player 1,3100,250
Player 1,3350,400
Player 1,3750,350
Player 1,4100,400
Player 1,4500,250
Player 1,4750,400
Player 1,5150,300
Player 1,5450,400
Player 1,5850,300
Player 1,6150,300
Player 1,6450,0
Player 1,6450,250
Player 1,6700,350
Player 1,7050,400
Player 1,7450,300
Player 1,7750,200
Player 1,7950,350
Player 1,8300,250
Player 2,0,700
Player 2,700,400
Player 2,1100,400
Player 2,1500,1150
Player 2,2650,300
Player 2,2950,300
Player 2,3250,1050
Player 2,4300,250
Player 2,4550,300
Player 2,4850,300
Player 2,5150,600
Player 2,5750,950
Player 2,6700,500
Player 2,7200,600
Player 2,7800,0
Player 2,7800,350
Player 2,8150,0
Player 2,8150,600
Player 2,8750,0
Player 2,8750,0
Player 2,8750,1050
Player 2,9800,0
Player 2,9800,250
Player 1,0,0
Player 1,0,700
Player 1,700,400
Player 1,1100,200
Player 1,1300,200
Player 1,1500,300
Player 1,1800,0
Player 1,1800,150
Player 1,1950,500
Player 1,2450,800
Player 1,3250,350
Player 1,3600,450
Player 1,4050,0
Player 1,4050,350
Player 1,4400,600
Player 1,5000,1200
Player 1,6200,300
Player 1,6500,250
Player 2,0,0
Player 2,0,400
Player 2,400,300
Player 2,700,650
Player 2,1350,400
Player 2,1750,700
Player 2,2450,1000
Player 2,3450,450
Player 2,3900,1050
Player 2,4950,600
Player 2,5550,450
Player 2,6000,750
Player 2,6750,550
Player 2,7300,0
Player 2,7300,350
Player 2,7650,1000
Player 2,8650,700
Player 2,9350,1450
Player 1,0,0
Player 1,0,300
Player 1,300,0
Player 1,300,0
Player 1,300,0
Player 1,300,0
Player 1,300,600
Player 1,900,350
Player 1,1250,350
Player 1,1600,500
Player 1,2100,1300
Player 1,3400,550
Player 1,3950,600
Player 1,4550,350
Player 1,4900,400
Player 1,5300,700
Player 1,6000,150
Player 1,6150,350
Player 1,6500,0
Player 1,6500,350
Player 1,6850,1250
Player 1,8100,1000
Player 1,9100,250
Player 1,9350,700
Player 2,0,400
Player 2,400,500
Player 2,900,500
Player 2,1400,0
Player 2,1400,0
